UNIVERSITY INTERSCHOLASTIC LEAGUE
OFFICIAL CONCERT & SIGHTREADING CONTEST RESULTS
"Contest Date","Event","Region","School","TEA Code","City","Director","Additional Director","Accompanist","Conference","Classification","Non-Varsity Group","Entry Number","Title 1","Composer 1","Title 2","Composer 2","Title 3","Composer 3","Concert Judge","Concert Judge","Concert Judge","Concert Score 1","Concert Score 2","Concert Score 3","Concert Final Score","Sight Reading Judge","Sight Reading Judge","Sight Reading Judge","Sight Reading Score 1","Sight Reading Score 2","Sight Reading Score 3","Sight Reading Final Score","Award"
"03/07/2023","926-String Orchestra","20","Apollo Junior High","057916050","Richardson","Marie Smith Garcia","","","CC","Non-Varsity","","181309","Beyond the THunder","Monday","Skaters' Waltz","Richard Meyer","Fiddles on Fire","Williams","Nicole Brown","Andrew McCallum","Kari Zamora","2","3","2","2","Shari Allison","Marian Jacobs","Ruth Kurtis","3","3","4","3",""
"03/07/2023","926-String Orchestra","20","Apollo Junior High","057916050","Richardson","Carina Parker","","2 of my second violin players will be playing percussion in the piece Sahara","CC","Varsity","","181287","Sneaking Suspicious ","Doug Spata","Sahara Crossing","Richard Meyer","Quintus","Larry Clark","Nicole Brown","Andrew McCallum","Kari Zamora","1","2","1","1","Shari Allison","Marian Jacobs","Ruth Kurtis","2","1","2","2","2"
"03/07/2023","926-String Orchestra","20","Austin Middle School","057-912-045","Irving","Silke Holdys","Russell Wilson","","CC","Varsity","","183149","Ablaze","Chris M. Bernotas ","Legends of Glory","Kathryn Griesinger","Meditation and Ritual","Bill Calhoun","Nicole Brown","Andrew McCallum","Kari Zamora","2","3","3","3","Shari Allison","Marian Jacobs","Ruth Kurtis","1","3","1","1","2"
"03/07/2023","926-String Orchestra","20","Austin Middle School","057-912-045","Irving","Silke Holdys","Russell Wilson","","CC","Non-Varsity","A","183136","Intensity","Sean O'Loughlin","A Pirate's Dream","Susan H. Day","Exhilaration","Cooper Ford","Nicole Brown","Andrew McCallum","Kari Zamora","3","2","2","2","Shari Allison","Marian Jacobs","Ruth Kurtis","2","3","3","3",""
"03/07/2023","926-String Orchestra","20","Booker T. Washington HSPVA","057905","Dallas","Michael Jacko","n/a","n/a","AAAAAA","Non-Varsity","","181191","Warrior Legacy","Newbold","Girl with the Flaxen Hair","Debussy/Monday","Bacchanale","Saint-Saens/Porter","Nicole Brown","Andrew McCallum","Kari Zamora","2","2","2","2","Shari Allison","Marian Jacobs","Ruth Kurtis","1","1","1","1","2"
"03/07/2023","926-String Orchestra","20","Bowie Middle School","057912041","Irving","Katherine Vedda","Kathryn Hinton","","CC","Varsity","","183407","Sailor's Song","Mark Williams","El Toro","Don Brubaker","Dragonhunter","Richard Meyer","Nicole Brown","Andrew McCallum","Kari Zamora","1","1","1","1","Shari Allison","Marian Jacobs","Ruth Kurtis","1","2","2","2","2"
"03/07/2023","926-String Orchestra","20","Bowie Middle School","057912041","Irving","Katherine Vedda","Kathryn Hinton","","CC","Non-Varsity","A","183405","Impulse","Brian Balmages","Apache","Carold Nunez","Gaelic Castle","Soon Hee Newbold","Nicole Brown","Andrew McCallum","Kari Zamora","3","2","3","3","Shari Allison","Marian Jacobs","Ruth Kurtis","2","3","3","3",""
"03/07/2023","926-String Orchestra","20","Crockett Middle School","057912042","Irving","Cornelia Harris","","","CC","Non-Varsity","","183156","The Red Lion (19532) ","Woolstenhulme","March Heroic (10041) ","Del Borgo","Miniature Symphony  mvt. 1 Modest March","Richard Meyer","Nicole Brown","Andrew McCallum","Kari Zamora","1","2","2","2","Shari Allison","Marian Jacobs","Ruth Kurtis","3","3","3","3",""
"03/07/2023","926-String Orchestra","20","Crockett Middle School","057912042","Irving","Cornelia Harris","","","CC","Varsity","","183154","Burst!","Brian Balmages","St. Anthony Chorale (6183) ","Haydn/Dackow","Boots and Saddle (17635) ","Sharp","Nicole Brown","Andrew McCallum","Kari Zamora","1","1","1","1","Shari Allison","Marian Jacobs","Ruth Kurtis","1","2","1","1","C"
"03/07/2023","926-String Orchestra","20","Dealey Middle School","134","Dallas","Kiira Russell","","","C","Varsity","","178876","King William's March","Jeremiah Clarke Arr. by Bob Phillips","Gaelic Castle (17620)","Newbold","Burst!","Bryan Balmages","Nicole Brown","Andrew McCallum","Kari Zamora","1","2","1","1","Shari Allison","Marian Jacobs","Ruth Kurtis","2","1","2","2","2"
"03/07/2023","926-String Orchestra","20","DeZavala Middle School","057912048","Irving","Jillian A. Attan","Kathryn Hinton ","","CC","Non-Varsity","","182804","Aeolian Rock (19642) ","Frizzi","Wexford Circle (20633) ","Del Borgo","Ballad of the Silver Spur for String Orchestra (17617) ","Frost","Nicole Brown","Andrew McCallum","Kari Zamora","1","2","1","1","Shari Allison","Marian Jacobs","Ruth Kurtis","2","1","2","2","2"
"03/07/2023","926-String Orchestra","20","DeZavala Middle School","057912048","Irving","Jillian A. Attan","Kathryn Hinton","","CC","Varsity","","182801","Fiddling A-Round (6150) ","Caponegro","Be Thou My Vision (15907) ","Anon. or Trad./Frost","Boots and Saddle (17635) ","Sharp","Nicole Brown","Andrew McCallum","Kari Zamora","1","1","1","1","Shari Allison","Marian Jacobs","Ruth Kurtis","2","1","1","1","C"
"03/07/2023","926-String Orchestra","20","E.D. Walker Middle School","056","Dallas","Diana Zavala ","","","CC","Varsity","","183257","Intensity ","Sean O'Loughlin","Canyon Sunset (10034)","Caponegro","Incantations ","David Hinds ","Nicole Brown","Andrew McCallum","Kari Zamora","4","4","4","4","Shari Allison","Marian Jacobs","Ruth Kurtis","4","4","3","4",""
"03/07/2023","926-String Orchestra","20","Forest Meadow JH","057916047","Dallas","Kara Taeger","","","CCC","Non-Varsity","","184003","St. Lawrence Overture (10042) ","Del Borgo","The Red Lion (19532) ","Woolstenhulme","Exhilaration","Cooper Ford","Nicole Brown","Andrew McCallum","Kari Zamora","1","2","2","2","Shari Allison","Marian Jacobs","Ruth Kurtis","2","2","3","2",""
"03/07/2023","926-String Orchestra","20","Forest Meadow JH","057916047","Dallas","Kara Taeger","","","CCC","Varsity","","182684","Procession of the Knights (19536) ","Brubaker","Hiawatha","Newbold","Intensity (17643) ","OLoughlin","Nicole Brown","Andrew McCallum","Kari Zamora","2","2","2","2","Shari Allison","Marian Jacobs","Ruth Kurtis","2","1","1","1","1"
"03/07/2023","926-String Orchestra","20","Gaston MS","048","Dallas","Frederick McKee","","","CC","Non-Varsity","","183441","Dance","Bartok  arr. Stoutamire & Henderson","Loch Lomond","arr. Klauss","Lyric Pieces III. Sailor's Song","Grieg  arr. McCashin","Nicole Brown","Andrew McCallum","Kari Zamora","4","3","4","4","Shari Allison","Marian Jacobs","Ruth Kurtis","3","4","3","3",""
"03/07/2023","926-String Orchestra","20","Harry Stone Montessori Academy","212","Dallas","Michael Smoot","","","C","Varsity","","178926","Loch Lomond (6188) ","Klauss","Star Dancer (6210) ","Williams","Cross Country (6156) ","Chase","Nicole Brown","Andrew McCallum","Kari Zamora","2","1","2","2","Shari Allison","Marian Jacobs","Ruth Kurtis","1","2","1","1","2"
"03/07/2023","926-String Orchestra","20","Highland Park Middle School","057911041","Dallas","Ben Mitchell","","","CCC","Non-Varsity","","179070","Fiddling A-Round","Caponegro","Loch Lomond","Klauss","Dance Scenario","Del Borgo","Nicole Brown","Andrew McCallum","Kari Zamora","1","2","2","2","Shari Allison","Marian Jacobs","Ruth Kurtis","2","1","2","2",""
"03/07/2023","926-String Orchestra","20","Highland Park Middle School","057916042","Dallas","Ben Mitchell","","","CCC","Varsity","","179068","The Dance of Iscariot","Kurt Mosier","Interlude 'Nightfall'","Yukiko Nishimura","Vanguard Overture","Richard Stephan","Nicole Brown","Andrew McCallum","Kari Zamora","1","1","1","1","Shari Allison","Marian Jacobs","Ruth Kurtis","1","1","1","1","C"
"03/07/2023","926-String Orchestra","20","Houston Middle School","057912046","IRVING","Alicia Liddell","","","CC","Varsity","","183278","Bow-Regards Parade (10033) ","Caponegro","Dorian Variations (6348) ","Williams","Dragonhunter (15903) ","Meyer","Nicole Brown","Andrew McCallum","Kari Zamora","1","1","1","1","Shari Allison","Marian Jacobs","Ruth Kurtis","2","3","2","2","2"
"03/07/2023","926-String Orchestra","20","Jesus Moroles Expressive Arts Vanguard/Academy","173","Dallas","Candace Casarez","","","C","Varsity","","182107","Fiddling A-Round (6150) ","Caponegro","Jupiter Theme from The Planets (17624) ","Holst/Hash","Heroic Adventure","Baird","Nicole Brown","Andrew McCallum","Kari Zamora","1","2","2","2","Shari Allison","Marian Jacobs","Ruth Kurtis","2","1","1","1","2"
"03/07/2023","926-String Orchestra","20","Lady Bird Johnson MS","057912050","Irving","Dominic Powell","","","CC","Varsity","","181269","Renaissance Suite  Mvt. 2 ","Attaingnant/Leidig","Fiddling A-Round","John Caponegro","El Toro","Don Brubaker","Nicole Brown","Andrew McCallum","Kari Zamora","1","2","2","2","Shari Allison","Marian Jacobs","Ruth Kurtis","2","2","2","2",""
"03/07/2023","926-String Orchestra","20","Lake Highlands Junior High","057916042","Dallas","Caitlin Ravkind Gonzalez ","","","CCC","Varsity","","182227","Velocity","Brian Balmages","Moonlight Tango","Richard Meyer","The Explorers","Keith Sharp","Nicole Brown","Andrew McCallum","Kari Zamora","1","2","2","2","Shari Allison","Marian Jacobs","Ruth Kurtis","3","2","1","2",""
"03/07/2023","926-String Orchestra","20","Lamar Middle School","057912044","Irving","Patrick Sunga","","","CC","Non-Varsity","","180431","Twilight Dancers (17631) ","Day","Chorale & Fanfare","Francis L. Feese","Marsquake (24174) ","Siegler","Nicole Brown","Andrew McCallum","Kari Zamora","2","3","3","3","Shari Allison","Marian Jacobs","Ruth Kurtis","2","2","2","2",""
"03/07/2023","926-String Orchestra","20","Lamar Middle School","057912044","Irving","Patrick Sunga","","","CC","Varsity","","180430","Windmill ","Francis L. Feese","Dragon`s Flight ","Ramsey-White","Sunburst (15924) ","Silva","Nicole Brown","Andrew McCallum","Kari Zamora","2","2","1","2","Shari Allison","Marian Jacobs","Ruth Kurtis","1","1","1","1","2"
"03/07/2023","926-String Orchestra","20","Liberty Junior High","057916049","Dallas","Lydia Villarreal","","","CC","Varsity","","182753","Apache (6193) ","Nunez","Petite Tango (10065) ","Kriechbaum","Defender of Time","Grice","Nicole Brown","Andrew McCallum","Kari Zamora","1","1","1","1","Shari Allison","Marian Jacobs","Ruth Kurtis","2","3","2","2","2"
"03/07/2023","926-String Orchestra","20","Marsh MS","057-905-054","Dallas","Amanda Chen","","","CC","Non-Varsity","","180659","March Heroic","Del Borgo  Elliot","Dragon Slayer","Grice  Rob","Fiddles on Fire","Williams  Mark","Nicole Brown","Andrew McCallum","Kari Zamora","2","2","2","2","Shari Allison","Marian Jacobs","Ruth Kurtis","2","2","3","2",""
